genealogy.n.01	genealogy.n.01
picture.n.01	picture.n.01
lineage.n.01	lineage.n.01
abstraction.n.01	abstraction.n.01
medium_of_exchange.n.01	medium_of_exchange.n.01
communicator.n.01	communicator.n.01
traveler.n.01	traveler.n.01
self-propelled_vehicle.n.01	self-propelled_vehicle.n.01
tract.n.01	tract.n.01
piece.n.06	piece.n.06
family.n.04	family.n.04
consumer.n.01	consumer.n.01
data.n.01	data.n.01
sport.n.01	sport.n.01
enterprise.n.02	enterprise.n.02
surface.n.01	surface.n.01
prose.n.01	prose.n.01
ancestor.n.01	ancestor.n.01
nonfiction.n.01	nonfiction.n.01
primate.n.02	primate.n.02
agreement.n.01	agreement.n.01
article.n.01	article.n.01
structure.n.03	structure.n.03
travel.n.01	travel.n.01
foodstuff.n.02	foodstuff.n.02
hominid.n.01	hominid.n.01
homo.n.02	homo.n.02
external_body_part.n.01	external_body_part.n.01
motor_vehicle.n.01	motor_vehicle.n.01
matter.n.06	matter.n.06
language.n.01	language.n.01
sum.n.01	sum.n.01
body.n.02	body.n.02
point.n.06	point.n.06
price.n.03	price.n.03
monetary_value.n.01	monetary_value.n.01
sheet.n.02	sheet.n.02
book.n.01	book.n.01
question.n.01	question.n.01
report.n.01	report.n.01
instrument.n.01	instrument.n.01
place_of_business.n.01	place_of_business.n.01
man.n.01	man.n.01
skilled_worker.n.01	skilled_worker.n.01
charge.n.03	charge.n.03
pathological_state.n.01	pathological_state.n.01
ill_health.n.01	ill_health.n.01
right.n.01	right.n.01
calendar_day.n.01	calendar_day.n.01
time.n.01	time.n.01
possibility.n.02	possibility.n.02
leaf.n.02	leaf.n.02
page.n.01	page.n.01
amount.n.02	amount.n.02
family.n.01	family.n.01
education.n.01	education.n.01
line.n.11	line.n.11
text.n.01	text.n.01
business.n.01	business.n.01
nutriment.n.01	nutriment.n.01
progenitor.n.01	progenitor.n.01
parent.n.01	parent.n.01
genitor.n.01	genitor.n.01
character.n.08	character.n.08
week.n.03	week.n.03
furnishing.n.02	furnishing.n.02
capitalist.n.02	capitalist.n.02
entertainer.n.01	entertainer.n.01
fluid.n.02	fluid.n.02
due_process.n.01	due_process.n.01
result.n.03	result.n.03
visual_communication.n.01	visual_communication.n.01
belief.n.01	belief.n.01
relationship.n.03	relationship.n.03
book.n.02	book.n.02
clothing.n.01	clothing.n.01
geographic_point.n.01	geographic_point.n.01
position.n.01	position.n.01
software.n.01	software.n.01
geological_formation.n.01	geological_formation.n.01
wrongdoing.n.02	wrongdoing.n.02
customer.n.01	customer.n.01
opportunity.n.01	opportunity.n.01
movie.n.01	movie.n.01
furniture.n.01	furniture.n.01
agency.n.01	agency.n.01
cognitive_factor.n.01	cognitive_factor.n.01
issue.n.01	issue.n.01
message.n.01	message.n.01
currency.n.01	currency.n.01
creation.n.01	creation.n.01
car.n.01	car.n.01
explanation.n.01	explanation.n.01
biological_group.n.01	biological_group.n.01
large_integer.n.01	large_integer.n.01
bodily_process.n.01	bodily_process.n.01
difficulty.n.02	difficulty.n.02
performer.n.01	performer.n.01
quantity.n.03	quantity.n.03
minute.n.01	minute.n.01
restraint.n.06	restraint.n.06
surface.n.02	surface.n.02
speech.n.02	speech.n.02
broadcast.n.02	broadcast.n.02
plant.n.02	plant.n.02
craft.n.02	craft.n.02
choice.n.02	choice.n.02
trouble.n.01	trouble.n.01
part.n.09	part.n.09
implement.n.01	implement.n.01
businessperson.n.01	businessperson.n.01
utility.n.02	utility.n.02
reference.n.08	reference.n.08
association.n.01	association.n.01
fluid.n.01	fluid.n.01
end_product.n.01	end_product.n.01
acquisition.n.02	acquisition.n.02
liquid.n.01	liquid.n.01
attitude.n.01	attitude.n.01
environment.n.01	environment.n.01
commercial_document.n.01	commercial_document.n.01
unit.n.05	unit.n.05
property.n.04	property.n.04
fact.n.01	fact.n.01
management.n.01	management.n.01
journey.n.01	journey.n.01
law_enforcement_agency.n.01	law_enforcement_agency.n.01
police.n.01	police.n.01
fastener.n.02	fastener.n.02
day_of_the_week.n.01	day_of_the_week.n.01
continuance.n.01	continuance.n.01
organic_compound.n.01	organic_compound.n.01
opinion.n.02	opinion.n.02
curiosity.n.01	curiosity.n.01
oeuvre.n.01	oeuvre.n.01
proceeding.n.01	proceeding.n.01
interest.n.01	interest.n.01
beverage.n.01	beverage.n.01
house.n.01	house.n.01
road.n.01	road.n.01
organ.n.01	organ.n.01
survival.n.03	survival.n.03
custom.n.01	custom.n.01
growth.n.01	growth.n.01
examination.n.01	examination.n.01
large_indefinite_quantity.n.01	large_indefinite_quantity.n.01
telecommunication.n.01	telecommunication.n.01
use.n.01	use.n.01
emotion.n.01	emotion.n.01
mercantile_establishment.n.01	mercantile_establishment.n.01
term.n.02	term.n.02
polity.n.02	polity.n.02
government.n.01	government.n.01
death.n.01	death.n.01
assembly.n.04	assembly.n.04
letter.n.02	letter.n.02
concern.n.01	concern.n.01
arrangement.n.03	arrangement.n.03
approval.n.04	approval.n.04
need.n.01	need.n.01
unfortunate.n.01	unfortunate.n.01
space.n.03	space.n.03
example.n.01	example.n.01
ratio.n.01	ratio.n.01
friendship.n.01	friendship.n.01
number.n.01	number.n.01
morality.n.01	morality.n.01
award.n.02	award.n.02
attainment.n.01	attainment.n.01
side.n.04	side.n.04
habit.n.02	habit.n.02
division.n.04	division.n.04
vascular_plant.n.01	vascular_plant.n.01
link.n.02	link.n.02
natural_process.n.01	natural_process.n.01
mechanism.n.05	mechanism.n.05
subject.n.01	subject.n.01
enrollee.n.01	enrollee.n.01
student.n.01	student.n.01
game_equipment.n.01	game_equipment.n.01
reply.n.02	reply.n.02
asset.n.01	asset.n.01
problem_solving.n.02	problem_solving.n.02
direction.n.06	direction.n.06
body_of_water.n.01	body_of_water.n.01
classification.n.03	classification.n.03
humanistic_discipline.n.01	humanistic_discipline.n.01
matter.n.01	matter.n.01
liabilities.n.01	liabilities.n.01
procedure.n.01	procedure.n.01
request.n.01	request.n.01
performance.n.01	performance.n.01
player.n.01	player.n.01
educational_institution.n.01	educational_institution.n.01
position.n.06	position.n.06
seat.n.01	seat.n.01
science.n.01	science.n.01
condition.n.03	condition.n.03
beginning.n.05	beginning.n.05
termination.n.05	termination.n.05
athletic_game.n.01	athletic_game.n.01
written_agreement.n.01	written_agreement.n.01
system.n.01	system.n.01
broadcasting.n.02	broadcasting.n.02
high_status.n.01	high_status.n.01
fortune.n.04	fortune.n.04
land.n.04	land.n.04
appraisal.n.01	appraisal.n.01
gain.n.04	gain.n.04
financial_gain.n.01	financial_gain.n.01
percept.n.01	percept.n.01
section.n.01	section.n.01
support.n.10	support.n.10
atmospheric_phenomenon.n.01	atmospheric_phenomenon.n.01
faculty.n.01	faculty.n.01
placement.n.01	placement.n.01
income.n.01	income.n.01
liquid.n.03	liquid.n.03
committee.n.01	committee.n.01
memory_device.n.01	memory_device.n.01
movement.n.03	movement.n.03
function.n.02	function.n.02
company.n.03	company.n.03
expert.n.01	expert.n.01
success.n.02	success.n.02
weekday.n.01	weekday.n.01
section.n.04	section.n.04
employment.n.02	employment.n.02
vessel.n.02	vessel.n.02
evaluation.n.02	evaluation.n.02
visual_percept.n.01	visual_percept.n.01
binary_compound.n.01	binary_compound.n.01
detail.n.01	detail.n.01
view.n.02	view.n.02
water.n.01	water.n.01
television.n.01	television.n.01
taxonomic_group.n.01	taxonomic_group.n.01
sphere.n.01	sphere.n.01
assistant.n.01	assistant.n.01
conflict.n.01	conflict.n.01
extremity.n.05	extremity.n.05
electrical_device.n.01	electrical_device.n.01
good.n.02	good.n.02
venture.n.01	venture.n.01
visitor.n.01	visitor.n.01
transgression.n.01	transgression.n.01
extent.n.02	extent.n.02
whole.n.01	whole.n.01
acknowledgment.n.03	acknowledgment.n.03
payment.n.01	payment.n.01
course.n.01	course.n.01
service.n.02	service.n.02
component.n.03	component.n.03
contract.n.01	contract.n.01
department.n.01	department.n.01
formation.n.01	formation.n.01
skillfulness.n.01	skillfulness.n.01
center.n.01	center.n.01
workplace.n.01	workplace.n.01
proposal.n.01	proposal.n.01
feature.n.01	feature.n.01
date.n.01	date.n.01
improvement.n.02	improvement.n.02
actor.n.01	actor.n.01
artist.n.01	artist.n.01
hypothesis.n.02	hypothesis.n.02
selling.n.01	selling.n.01
education.n.02	education.n.02
design.n.02	design.n.02
answer.n.03	answer.n.03
illness.n.01	illness.n.01
drug_of_abuse.n.01	drug_of_abuse.n.01
shop.n.01	shop.n.01
environment.n.02	environment.n.02
word.n.01	word.n.01
season.n.03	season.n.03
